TP_DEPENDENCIA,TP_LOCALIZACAO,IN_INTERNET_ALUNOS,QT_TABLET_ALUNO,IN_LABORATORIO_INFORMATICA,IN_BIBLIOTECA,IN_ALIMENTACAO,IN_REFEITORIO,IN_AGUA_POTAVEL,IN_ENERGIA_REDE_PUBLICA,IN_ESGOTO_REDE_PUBLICA,IN_BANHEIRO,IN_QUADRA_ESPORTES
4,1,1.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,30.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,64.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
4,1,1.0,10.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1,1.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,31.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,22.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
4,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
