Municipio;Porcentagem de abandono - Ensino fundamental - Anos Iniciais;Porcentagem de abandono - Ensino fundamental - Anos Finais;Porcentagem de abandono - Ensino Médio;Total Abandono Escolar
BERTIOGA;0,0;0,18;0,87;1,05
CUBATAO;0,0;0,0;0,75;0,75
GUARUJA;0,0;0,22;0,95;1,17
SANTOS;0,0;0,02;0,17;0,19
SAO BERNARDO DO CAMPO;0,0;0,16;0,73;0,89
SAO CAETANO DO SUL;0,0;0,07;0,87;0,94
CORUMBATAI;0,0;0,0;0,0;0,0
DESCALVADO;0,0;0,0;0,41;0,41
DOURADO;0,0;0,0;0,0;0,0
IBATE;0,0;0,0;0,0;0,0
ITIRAPINA;0,0;0,0;0,46;0,46
RIBEIRAO BONITO;0,0;0,0;0,0;0,0
SAO CARLOS;0,0;0,0;0,08;0,08
AGUAI;0,0;0,0;0,0;0,0
AGUAS DA PRATA;0,0;0,0;0,0;0,0
CACONDE;0,0;0,0;0,0;0,0
CASA BRANCA;0,0;0,0;0,0;0,0
DIVINOLANDIA;0,0;1,96;1,14;3,0999999999999996
ESPIRITO SANTO DO PINHAL;0,0;0,0;0,0;0,0
ITOBI;0,0;0,0;1,67;1,67
MOCOCA;0,0;0,0;0,0;0,0
SANTO ANTONIO DO JARDIM;0,0;0,0;0,0;0,0
SAO JOAO DA BOA VISTA;0,0;0,0;0,0;0,0
SAO JOSE DO RIO PARDO;0,0;0,0;0,0;0,0
SAO SEBASTIAO DA GRAMA;0,0;0,0;0,0;0,0
TAMBAU;0,0;0,26;0,0;0,26
TAPIRATIBA;0,0;0,0;0,0;0,0
VARGEM GRANDE DO SUL;0,0;0,0;0,0;0,0
ARAMINA;0,0;0,0;0,0;0,0
BURITIZAL;0,0;0,0;0,0;0,0
GUARA;0,0;0,0;0,0;0,0
IGARAPAVA;0,0;0,0;7,99;7,99
IPUA;0,0;0,0;0,0;0,0
ITUVERAVA;0,0;0,0;0,0;0,0
MIGUELOPOLIS;0,0;0,0;0,0;0,0
MORRO AGUDO;0,0;0,0;0,0;0,0
NUPORANGA;0,0;0,0;0,0;0,0
ORLANDIA;0,0;0,0;2,9;2,9
SALES OLIVEIRA;0,0;0,0;0,0;0,0
SAO JOAQUIM DA BARRA;0,0;0,0;0,23;0,23
BADY BASSITT;0,0;0,0;0,54;0,54
CEDRAL;0,0;0,0;0,0;0,0
GUAPIACU;0,0;0,0;0,0;0,0
IBIRA;0,0;0,0;0,0;0,0
ICEM;0,0;0,0;0,0;0,0
IPIGUA;0,0;0,0;0,0;0,0
MIRASSOLANDIA;0,0;0,0;0,0;0,0
NOVA GRANADA;0,0;0,0;0,0;0,0
ONDA VERDE;0,0;0,0;0,0;0,0
ORINDIUVA;0,0;0,0;0,0;0,0
PALESTINA;0,0;0,0;0,0;0,0
POTIRENDABA;0,0;0,0;0,0;0,0
SAO JOSE DO RIO PRETO;0,0;0,03;0,16;0,19
UCHOA;0,0;0,0;0,0;0,0
MONTEIRO LOBATO;0,0;0,0;2,37;2,37
SAO JOSE DOS CAMPOS;0,0;0,07;0,14;0,21000000000000002
ALUMINIO;0,0;0,0;0,0;0,0
ARACARIGUAMA;0,0;0,0;0,26;0,26
IBIUNA;0,0;0,28;0,95;1,23
MAIRINQUE;0,0;0,0;0,91;0,91
SAO ROQUE;0,0;0,0;0,85;0,85
VARGEM GRANDE PAULISTA;0,0;0,26;0,76;1,02
ITANHAEM;0,0;0,11;0,19;0,3
MONGAGUA;0,0;0,0;0,14;0,14
PERUIBE;0,0;0,14;0,05;0,19
PRAIA GRANDE;0,0;0,14;0,47;0,61
SAO VICENTE;0,0;0,08;0,2;0,28
BARRINHA;0,0;0,0;0,0;0,0
DUMONT;0,0;0,0;0,0;0,0
JARDINOPOLIS;0,0;0,0;0,18;0,18
PITANGUEIRAS;0,0;0,0;0,0;0,0
PONTAL;0,0;0,0;0,0;0,0
SERTAOZINHO;0,0;0,06;0,0;0,06
TERRA ROXA;0,0;0,0;0,0;0,0
VIRADOURO;0,0;0,0;0,0;0,0
SOROCABA;0,02;0,11;0,83;0,96
SAO PAULO;0,04;0,22;0,48;0,74
SAO PAULO;0,06;0,12;1,19;1,3699999999999999
SAO PAULO;0,06;0,29;0,99;1,3399999999999999
HORTOLANDIA;0,0;0,07;0,1;0,17
PAULINIA;0,0;0,0;0,68;0,68
SUMARE;0,05;0,33;0,95;1,33
FERRAZ DE VASCONCELOS;0,0;0,14;0,08;0,22000000000000003
SUZANO;0,02;0,05;0,15;0,22
EMBU DAS ARTES;0,0;0,2;0,7;0,8999999999999999
TABOAO DA SERRA;0,23;0,05;0,35;0,63
BORBOREMA;0,0;0,0;0,0;0,0
CANDIDO RODRIGUES;0,0;0,0;0,0;0,0
DOBRADA;0,0;0,0;0,0;0,0
FERNANDO PRESTES;0,0;0,0;0,0;0,0
IBITINGA;0,0;0,0;0,0;0,0
ITAPOLIS;0,0;0,0;0,0;0,0
PIRANGI;0,0;0,0;0,0;0,0
SANTA ERNESTINA;0,0;0,0;0,0;0,0
TABATINGA;0,0;0,0;0,0;0,0
TAQUARITINGA;0,0;0,0;0,0;0,0
VISTA ALEGRE DO ALTO;0,0;0,0;0,0;0,0
CACAPAVA;0,0;0,39;0,91;1,3
JAMBEIRO;0,0;0,0;0,0;0,0
LAGOINHA;0,0;0,0;0,0;0,0
NATIVIDADE DA SERRA;0,0;0,0;0,0;0,0
PARAIBUNA;0,0;0,0;0,0;0,0
REDENCAO DA SERRA;0,0;0,0;0,0;0,0
SAO LUIZ DO PARAITINGA;0,0;0,0;0,0;0,0
TAUBATE;0,0;0,0;0,35;0,35
ARCO-IRIS;0,0;0,0;0,0;0,0
BASTOS;0,0;0,0;0,0;0,0
HERCULANDIA;0,0;0,0;0,0;0,0
IACRI;0,0;0,0;0,0;0,0
JOAO RAMALHO;0,0;0,0;0,0;0,0
PARAPUA;0,0;0,0;0,0;0,0
QUATA;0,0;0,0;0,0;0,0
QUEIROZ;0,0;0,0;0,0;0,0
QUINTANA;0,0;0,0;0,0;0,0
RANCHARIA;0,0;0,0;0,0;0,0
RINOPOLIS;0,0;0,0;0,0;0,0
TUPA;0,0;0,04;0,16;0,2
ARACOIABA DA SERRA;0,0;0,0;0,82;0,82
CAPELA DO ALTO;0,0;0,0;0,15;0,15
PIEDADE;0,0;0,31;1,57;1,8800000000000001
PILAR DO SUL;0,0;0,14;2,4;2,54
SALTO DE PIRAPORA;0,0;1,0;4,83;5,83
TAPIRAI;0,0;0,0;0,0;0,0
VOTORANTIM;0,0;0,38;0,95;1,33
ALVARES FLORENCE;0,0;0,0;0,0;0,0
AMERICO DE CAMPOS;0,0;0,0;0,0;0,0
CARDOSO;0,0;0,0;0,0;0,0
COSMORAMA;0,0;0,0;0,0;0,0
FLOREAL;0,0;0,0;0,0;0,0
GASTAO VIDIGAL;0,0;0,0;0,0;0,0
MACAUBAL;0,0;0,0;0,0;0,0
MONCOES;0,0;0,0;0,0;0,0
NHANDEARA;0,0;0,0;2,74;2,74
NOVA CASTILHO;0,0;0,0;0,0;0,0
NOVA LUZITANIA;0,0;0,0;0,0;0,0
PARISI;0,0;0,0;0,0;0,0
PAULO DE FARIA;0,0;0,0;0,0;0,0
PONTES GESTAL;0,0;0,0;0,0;0,0
RIOLANDIA;0,0;0,0;0,0;0,0
SEBASTIANOPOLIS DO SUL;0,0;0,0;0,0;0,0
VALENTIM GENTIL;0,0;0,0;0,0;0,0
VOTUPORANGA;0,0;0,0;0,0;0,0
