;Municipio;Total Abandono Escolar
0;ADAMANTINA;0,0
1;ADOLFO;0,0
2;AGUAI;0,0
3;AGUAS DA PRATA;0,0
4;AGUAS DE LINDOIA;0,0
5;AGUAS DE SANTA BARBARA;0,0
6;AGUAS DE SAO PEDRO;0,0
7;AGUDOS;0,0
8;ALAMBARI;0,0
9;ALFREDO MARCONDES;0,0
10;ALTAIR;0,0
11;ALTINOPOLIS;0,0
12;ALTO ALEGRE;0,0
13;ALUMINIO;0,0
14;ALVARES FLORENCE;0,0
15;ALVARES MACHADO;0,0
16;ALVARO DE CARVALHO;0,0
17;ALVINLANDIA;0,0
18;AMERICANA;0,0
19;AMERICO BRASILIENSE;0,0
20;AMERICO DE CAMPOS;0,0
21;AMPARO;0,0
22;ANALANDIA;0,0
23;ANDRADINA;0,0
24;ANGATUBA;0,0
25;ANHEMBI;0,0
26;ANHUMAS;0,0
27;APARECIDA;0,0
28;APARECIDA D'OESTE;0,0
29;APIAI;0,0
30;ARACARIGUAMA;0,0
31;ARACATUBA;0,0
32;ARACOIABA DA SERRA;0,0
33;ARAMINA;0,0
34;ARANDU;0,0
35;ARAPEI;0,0
36;ARARAQUARA;0,0
37;ARARAS;0,0
38;ARCO-IRIS;0,0
39;AREALVA;0,0
40;AREIAS;0,0
41;AREIOPOLIS;0,0
42;ARIRANHA;0,0
43;ARTUR NOGUEIRA;0,0
44;ARUJA;0,0
45;ASPASIA;0,0
46;ASSIS;0,0
47;ATIBAIA;0,0
48;AURIFLAMA;0,0
49;AVAI;0,0
50;AVANHANDAVA;0,0
51;AVARE;0,0
52;BADY BASSITT;0,0
53;BALBINOS;0,0
54;BALSAMO;0,0
55;BANANAL;0,0
56;BARAO DE ANTONINA;0,0
57;BARBOSA;0,0
58;BARIRI;0,0
59;BARRA BONITA;0,0
60;BARRA DO CHAPEU;0,0
61;BARRA DO TURVO;0,0
62;BARRETOS;0,0
63;BARRINHA;0,0
64;BARUERI;0,0
65;BASTOS;0,0
66;BATATAIS;0,0
67;BAURU;0,56
68;BEBEDOURO;0,0
69;BENTO DE ABREU;0,0
70;BERNARDINO DE CAMPOS;0,0
71;BERTIOGA;0,0
72;BILAC;0,0
73;BIRIGUI;0,0
74;BIRITIBA-MIRIM;0,0
75;BOA ESPERANCA DO SUL;0,0
76;BOCAINA;0,0
77;BOFETE;0,0
78;BOITUVA;0,0
79;BOM JESUS DOS PERDOES;0,0
80;BOM SUCESSO DE ITARARE;0,0
81;BORA;0,0
