Município,Percentual
Adamantina,50.0,34.6,15.4,80.8,76.9,100.0,100.0,96.2,100.0,46.2
Adolfo,40.0,60.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0
Aguaí,55.6,37.0,14.8,92.6,66.7,100.0,96.3,96.3,100.0,66.7
Agudos,66.7,40.0,20.0,80.0,73.3,100.0,100.0,100.0,100.0,50.0
Alambari,42.9,28.6,14.3,100.0,100.0,100.0,100.0,85.7,100.0,14.3
Alfredo Marcondes,33.3,33.3,0.0,100.0,100.0,100.0,100.0,100.0,100.0,33.3
Altair,50.0,25.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0
Altinópolis,57.1,42.9,35.7,85.7,85.7,100.0,100.0,100.0,100.0,64.3
Alto Alegre,50.0,25.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Alumínio,70.6,58.8,11.8,88.2,76.5,100.0,100.0,88.2,94.1,41.2
Alvinlândia,75.0,25.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0
Americana,45.5,31.1,11.4,61.1,71.3,98.8,100.0,99.4,100.0,39.5
Amparo,48.3,40.0,11.7,80.0,71.7,100.0,100.0,90.0,100.0,53.3
Américo Brasiliense,47.6,52.4,14.3,90.5,47.6,100.0,100.0,100.0,100.0,33.3
Américo de Campos,100.0,60.0,40.0,100.0,80.0,100.0,100.0,100.0,100.0,40.0
Analândia,100.0,25.0,0.0,100.0,25.0,100.0,75.0,100.0,75.0,25.0
Andradina,46.9,38.8,16.3,83.7,77.6,98.0,95.9,93.9,100.0,49.0
Angatuba,56.2,62.5,0.0,93.8,68.8,100.0,100.0,81.2,100.0,62.5
Anhembi,42.9,57.1,0.0,100.0,85.7,100.0,100.0,100.0,100.0,71.4
Anhumas,50.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Aparecida,40.0,40.0,20.0,88.6,54.3,100.0,100.0,100.0,100.0,48.6
Aparecida d'Oeste,100.0,66.7,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Apiaí,67.9,39.3,14.3,92.9,42.9,100.0,100.0,75.0,92.9,50.0
Aramina,50.0,50.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0
Arandu,50.0,33.3,16.7,100.0,83.3,100.0,100.0,100.0,100.0,50.0
Arapeí,33.3,33.3,0.0,100.0,33.3,100.0,100.0,100.0,100.0,66.7
Araraquara,74.7,44.4,44.4,72.8,69.8,100.0,99.4,99.4,99.4,53.1
Araras,63.2,42.5,21.8,80.5,78.2,100.0,98.9,98.9,100.0,58.6
Araçariguama,62.5,12.5,16.7,95.8,50.0,100.0,100.0,70.8,100.0,41.7
Araçatuba,75.0,44.6,25.0,68.2,73.0,100.0,100.0,98.0,99.3,50.7
Araçoiaba da Serra,60.0,40.0,3.3,90.0,70.0,100.0,100.0,46.7,100.0,53.3
Arco-Íris,100.0,33.3,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Arealva,100.0,22.2,33.3,100.0,66.7,100.0,100.0,100.0,100.0,33.3
Areias,60.0,40.0,20.0,100.0,60.0,100.0,80.0,100.0,100.0,60.0
Areiópolis,55.6,44.4,0.0,100.0,77.8,100.0,100.0,100.0,100.0,33.3
Ariranha,66.7,66.7,0.0,100.0,66.7,100.0,100.0,100.0,100.0,66.7
Artur Nogueira,40.5,37.8,35.1,91.9,73.0,100.0,100.0,97.3,100.0,45.9
Arujá,57.5,42.5,23.8,76.2,70.0,100.0,100.0,92.5,100.0,58.8
Aspásia,100.0,50.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0
Assis,59.7,50.0,19.4,68.1,66.7,100.0,98.6,100.0,95.8,66.7
Atibaia,52.4,32.3,22.6,71.8,74.2,100.0,100.0,75.8,99.2,58.1
