;Municipio;Total Abandono Escolar
208;GUARARAPES;0,79
209;GUARAREMA;2,89
210;GUARATINGUETA;1,39
211;GUAREI;0,0
212;GUARIBA;2,64
213;GUARUJA;4,97
214;GUARULHOS;1,76
215;GUATAPARA;3,97
216;GUZOLANDIA;0,0
217;HERCULANDIA;0,0
218;HOLAMBRA;5,6
219;HORTOLANDIA;1,45
220;IACANGA;7,89
221;IACRI;0,0
222;IARAS;0,0
223;IBATE;0,0
224;IBIRA;0,0
225;IBIRAREMA;0,0
226;IBITINGA;0,0
227;IBIUNA;1,32
228;ICEM;0,0
229;IEPE;0,4
230;IGARACU DO TIETE;0,0
231;IGARAPAVA;0,62
232;IGARATA;6,3
233;IGUAPE;0,11
234;ILHA COMPRIDA;1,88
235;ILHA SOLTEIRA;2,24
236;ILHABELA;0,19
237;INDAIATUBA;2,91
238;INDIANA;0,83
239;INDIAPORA;0,0
240;INUBIA PAULISTA;0,0
241;IPAUSSU;0,0
242;IPERO;0,96
243;IPEUNA;0,0
244;IPIGUA;0,0
245;IPORANGA;0,0
246;IPUA;0,0
247;IRACEMAPOLIS;1,72
248;IRAPUA;0,0
249;IRAPURU;8,81
250;ITABERA;0,0
251;ITAI;0,53
252;ITAJOBI;0,0
253;ITAJU;0,0
254;ITANHAEM;0,95
255;ITAOCA;0,53
256;ITAPECERICA DA SERRA;1,35
257;ITAPETININGA;0,6
258;ITAPEVA;0,36
259;ITAPEVI;2,99
260;ITAPIRA;8,63
261;ITAPIRAPUA PAULISTA;7,46
262;ITAPOLIS;0,0
263;ITAPORANGA;3,32
264;ITAPUI;0,0
265;ITAPURA;0,0
266;ITAQUAQUECETUBA;2,09
267;ITARARE;6,07
268;ITARIRI;0,21
269;ITATIBA;0,2
270;ITATINGA;1,27
271;ITIRAPINA;0,0
272;ITIRAPUA;6,68
273;ITOBI;2,9
274;ITU;0,88
275;ITUPEVA;4,38
276;ITUVERAVA;0,0
277;JABORANDI;0,0
278;JABOTICABAL;4,16
279;JACAREI;2,86
280;JACI;0,0
281;JACUPIRANGA;5,77
282;JAGUARIUNA;0,0
283;JALES;0,0
284;JAMBEIRO;0,0
285;JANDIRA;3,94
286;JARDINOPOLIS;3,96
287;JARINU;0,14
288;JAU;1,75
289;JERIQUARA;0,0
290;JOANOPOLIS;0,0
291;JOAO RAMALHO;1,01
292;JOSE BONIFACIO;0,37
293;JULIO MESQUITA;0,0
294;JUMIRIM;1,17
295;JUNDIAI;1,31
296;JUNQUEIROPOLIS;0,0
297;JUQUIA;0,0
298;JUQUITIBA;0,4
299;LAGOINHA;0,72
300;LARANJAL PAULISTA;0,12
301;LAVINIA;0,0
302;LAVRINHAS;5,05
303;LEME;2,02
304;LENCOIS PAULISTA;0,67
305;LIMEIRA;4,08
306;LINDOIA;0,0
307;LINS;9,7
308;LORENA;3,15
309;LOURDES;0,0
310;LOUVEIRA;0,28
311;LUCELIA;0,0
312;LUCIANOPOLIS;0,0
313;LUIS ANTONIO;7,29
314;LUIZIANIA;0,0
315;LUPERCIO;0,0
316;LUTECIA;2,53
317;MACATUBA;0,0
318;MACAUBAL;0,97
319;MACEDONIA;3,88
320;MAGDA;0,0
321;MAIRINQUE;1,3
322;MAIRIPORA;1,09
323;MANDURI;0,0
324;MARABA PAULISTA;0,0
325;MARACAI;0,0
326;MARAPOAMA;0,0
327;MARIAPOLIS;0,0
328;MARILIA;1,59
329;MARINOPOLIS;0,0
330;MARTINOPOLIS;3,52
331;MATAO;0,0
332;MAUA;1,95
333;MENDONCA;0,0
334;MERIDIANO;0,0
335;MESOPOLIS;0,0
336;MIGUELOPOLIS;0,0
337;MINEIROS DO TIETE;0,0
338;MIRA ESTRELA;0,0
339;MIRACATU;1,23
340;MIRANDOPOLIS;0,19
341;MIRANTE DO PARANAPANEMA;0,0
342;MIRASSOL;0,0
343;MIRASSOLANDIA;0,0
344;MOCOCA;0,83
345;MOGI DAS CRUZES;3,81
346;MOGI GUACU;7,7
347;MOGI MIRIM;4,6
348;MOMBUCA;1,18
349;MONCOES;2,38
350;MONGAGUA;0,1
351;MONTE ALEGRE DO SUL;3,55
352;MONTE ALTO;3,68
353;MONTE APRAZIVEL;0,0
354;MONTE AZUL PAULISTA;4,17
355;MONTE CASTELO;0,0
356;MONTE MOR;5,89
357;MONTEIRO LOBATO;10,49
358;MORRO AGUDO;0,0
359;MORUNGABA;0,0
360;MOTUCA;0,0
361;MURUTINGA DO SUL;0,0
362;NANTES;0,0
363;NARANDIBA;0,0
364;NATIVIDADE DA SERRA;8,17
365;NAZARE PAULISTA;0,72
366;NEVES PAULISTA;0,0
367;NHANDEARA;4,96
368;NIPOA;0,0
369;NOVA ALIANCA;15,61
370;NOVA CAMPINA;0,0
371;NOVA CANAA PAULISTA;0,0
372;NOVA CASTILHO;0,0
373;NOVA EUROPA;0,0
374;NOVA GRANADA;0,0
375;NOVA GUATAPORANGA;0,0
376;NOVA INDEPENDENCIA;0,0
377;NOVA LUZITANIA;0,0
378;NOVA ODESSA;0,93
379;NOVAIS;0,0
380;NOVO HORIZONTE;0,0
381;NUPORANGA;0,0
382;OCAUCU;2,23
383;OLEO;0,0
384;OLIMPIA;0,04
385;ONDA VERDE;0,0
386;ORIENTE;0,0
387;ORINDIUVA;0,0
388;ORLANDIA;1,46
389;OSASCO;3,7
390;OSCAR BRESSANE;0,0
391;OSVALDO CRUZ;0,45
392;OURINHOS;1,96
393;OURO VERDE;0,0
394;OUROESTE;0,0
395;PACAEMBU;0,96
396;PALESTINA;0,33
397;PALMARES PAULISTA;0,38
398;PALMEIRA D'OESTE;0,0
399;PALMITAL;0,33
400;PANORAMA;7,43
401;PARAGUACU PAULISTA;0,0
402;PARAIBUNA;5,18
403;PARAISO;0,0
404;PARANAPANEMA;3,62
405;PARANAPUA;0,0
406;PARAPUA;0,47
407;PARDINHO;3,2
408;PARIQUERA-ACU;1,22
409;PARISI;0,0
410;PATROCINIO PAULISTA;0,57
411;PAULICEIA;0,0
412;PAULINIA;1,11
413;PAULISTANIA;1,85
414;PAULO DE FARIA;0,0
415;PEDERNEIRAS;0,0
416;PEDRA BELA;0,0
417;PEDRANOPOLIS;0,0
418;PEDREGULHO;6,31
419;PEDREIRA;1,42
420;PEDRINHAS PAULISTA;0,0
421;PEDRO DE TOLEDO;0,19
422;PENAPOLIS;0,55
423;PEREIRA BARRETO;0,0
424;PEREIRAS;0,0
425;PERUIBE;0,17
426;PIACATU;1,33
427;PIEDADE;2,62
428;PILAR DO SUL;1,89
429;PINDAMONHANGABA;0,64
430;PINDORAMA;0,0
431;PINHALZINHO;0,0
432;PIQUEROBI;8,79
433;PIQUETE;0,71
434;PIRACAIA;0,51
435;PIRACICABA;2,82
436;PIRAJU;2,4
437;PIRAJUI;0,0
438;PIRANGI;0,0
439;PIRAPORA DO BOM JESUS;3,92
440;PIRAPOZINHO;3,05
441;PIRASSUNUNGA;1,07
442;PIRATININGA;0,0
443;PITANGUEIRAS;2,51
444;PLANALTO;8,04
445;PLATINA;0,0
446;POA;1,44
447;POLONI;7,37
448;POMPEIA;0,0
449;PONGAI;-0,01
450;PONTAL;0,0
451;PONTALINDA;0,0
452;PONTES GESTAL;0,0
453;POPULINA;0,0
454;PORANGABA;0,0
455;PORTO FELIZ;0,06
456;PORTO FERREIRA;0,57
457;POTIM;0,0
458;POTIRENDABA;0,0
459;PRACINHA;0,0
460;PRADOPOLIS;2,34
461;PRAIA GRANDE;1,44
462;PRATANIA;0,0
463;PRESIDENTE ALVES;0,0
