Município,Percentual
Bebedouro,54.0,41.3,11.1,71.4,73.0,100.0,98.4,100.0,100.0,57.1
Bento de Abreu,25.0,50.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Bernardino de Campos,30.8,38.5,0.0,84.6,61.5,100.0,100.0,100.0,92.3,38.5
Bertioga,50.9,28.3,17.0,71.7,73.6,98.1,100.0,83.0,100.0,39.6
Bilac,100.0,25.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Birigui,60.0,61.5,16.9,80.0,75.4,100.0,100.0,100.0,98.5,56.9
Biritiba Mirim,25.0,40.0,0.0,85.0,60.0,100.0,100.0,90.0,100.0,35.0
Boa Esperança do Sul,40.0,20.0,20.0,90.0,60.0,100.0,100.0,100.0,100.0,50.0
Bocaina,63.6,63.6,27.3,81.8,63.6,100.0,100.0,100.0,100.0,45.5
Bofete,50.0,30.0,0.0,100.0,60.0,100.0,100.0,70.0,100.0,60.0
Boituva,41.1,19.6,10.7,82.1,69.6,100.0,100.0,96.4,100.0,44.6
Bom Jesus dos Perdões,81.2,37.5,25.0,93.8,56.2,100.0,100.0,81.2,87.5,62.5
Bom Sucesso de Itararé,50.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0
Boracéia,60.0,60.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,60.0
Borborema,72.7,54.5,27.3,72.7,36.4,100.0,100.0,100.0,100.0,36.4
Borebi,25.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Borá,66.7,66.7,0.0,100.0,0.0,100.0,100.0,100.0,100.0,66.7
Botucatu,51.9,33.3,10.9,75.2,70.5,98.4,99.2,96.9,98.4,51.2
Bragança Paulista,74.0,36.6,44.3,77.9,75.6,100.0,98.5,80.2,100.0,52.7
Braúna,60.0,60.0,20.0,100.0,60.0,100.0,100.0,80.0,100.0,40.0
Brejo Alegre,66.7,33.3,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7
Brodowski,25.0,30.0,25.0,75.0,50.0,100.0,100.0,100.0,100.0,65.0
Brotas,55.0,55.0,30.0,75.0,70.0,100.0,100.0,100.0,100.0,50.0
Buri,31.6,47.4,0.0,100.0,84.2,100.0,100.0,89.5,100.0,68.4
Buritama,54.5,54.5,18.2,90.9,72.7,100.0,100.0,100.0,100.0,45.5
Buritizal,60.0,60.0,40.0,100.0,60.0,100.0,100.0,100.0,100.0,60.0
Bálsamo,50.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0
Cabreúva,51.5,45.5,6.1,90.9,57.6,100.0,100.0,84.8,97.0,30.3
Cabrália Paulista,40.0,60.0,20.0,100.0,100.0,100.0,100.0,80.0,100.0,60.0
Cachoeira Paulista,50.0,55.9,20.6,79.4,73.5,100.0,100.0,97.1,100.0,64.7
Caconde,38.9,33.3,5.6,88.9,72.2,100.0,100.0,88.9,100.0,33.3
Cafelândia,100.0,33.3,20.0,86.7,46.7,100.0,100.0,100.0,93.3,53.3
Caiabu,20.0,20.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,40.0
Caieiras,54.1,43.2,13.5,78.4,70.3,100.0,100.0,95.9,95.9,44.6
Caiuá,50.0,50.0,0.0,83.3,33.3,100.0,100.0,100.0,100.0,66.7
Cajamar,36.1,47.5,24.6,80.3,80.3,100.0,100.0,93.4,93.4,50.8
Cajati,57.1,42.9,17.9,96.4,21.4,100.0,100.0,96.4,100.0,42.9
Cajobi,55.6,66.7,44.4,100.0,88.9,100.0,100.0,100.0,100.0,55.6
Cajuru,36.0,44.0,28.0,88.0,80.0,100.0,100.0,100.0,96.0,40.0
Campina do Monte Alegre,40.0,60.0,0.0,100.0,80.0,100.0,100.0,100.0,100.0,60.0
Campinas,49.2,42.2,41.9,69.3,77.8,99.8,99.8,98.5,98.9,48.9
Campo Limpo Paulista,34.5,25.5,34.5,83.6,78.2,100.0,100.0,89.1,100.0,50.9
Campos Novos Paulista,100.0,75.0,0.0,100.0,50.0,100.0,100.0,100.0,100.0,25.0
Campos do Jordão,46.2,48.1,19.2,88.5,80.8,100.0,100.0,98.1,100.0,40.4
Cananéia,42.1,26.3,15.8,94.7,31.6,100.0,89.5,78.9,89.5,26.3
Canas,83.3,50.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,33.3
Canitar,40.0,40.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,40.0
Capela do Alto,77.8,50.0,11.1,77.8,66.7,94.4,100.0,94.4,100.0,33.3
Capivari,47.5,60.0,12.5,87.5,57.5,100.0,100.0,97.5,100.0,57.5
Capão Bonito,58.7,32.6,10.9,87.0,78.3,100.0,100.0,89.1,100.0,58.7
Caraguatatuba,67.0,49.5,8.2,82.5,83.5,100.0,100.0,97.9,100.0,57.7
Carapicuíba,37.1,28.2,12.4,81.2,67.3,99.0,99.5,97.0,95.0,40.1
Cardoso,58.3,50.0,8.3,91.7,66.7,100.0,100.0,100.0,100.0,66.7
Casa Branca,42.9,46.4,14.3,78.6,42.9,100.0,100.0,100.0,100.0,53.6
Castilho,30.8,30.8,15.4,100.0,38.5,100.0,100.0,84.6,100.0,38.5
Catanduva,58.0,50.6,14.8,70.4,60.5,98.8,100.0,100.0,98.8,55.6
Catiguá,20.0,40.0,0.0,80.0,20.0,100.0,100.0,100.0,100.0,60.0
Caçapava,59.7,46.8,16.1,71.0,59.7,100.0,100.0,98.4,100.0,66.1
Cedral,50.0,50.0,0.0,100.0,25.0,100.0,100.0,100.0,100.0,50.0
Cerqueira César,57.1,33.3,14.3,76.2,71.4,100.0,100.0,100.0,100.0,47.6
Cerquilho,29.4,35.3,14.7,85.3,70.6,100.0,100.0,100.0,100.0,47.1
Cesário Lange,42.1,26.3,5.3,89.5,84.2,100.0,100.0,100.0,100.0,36.8
Charqueada,45.5,36.4,18.2,100.0,81.8,100.0,100.0,100.0,100.0,90.9
Chavantes,75.0,75.0,0.0,100.0,66.7,100.0,100.0,100.0,100.0,33.3
Clementina,50.0,33.3,0.0,100.0,50.0,100.0,100.0,100.0,100.0,50.0
Colina,57.9,57.9,5.3,89.5,57.9,100.0,94.7,94.7,100.0,47.4
Colômbia,50.0,50.0,0.0,100.0,80.0,100.0,100.0,100.0,100.0,30.0
Conchal,42.9,21.4,3.6,92.9,50.0,100.0,100.0,100.0,100.0,39.3
Conchas,75.0,31.2,12.5,87.5,56.2,100.0,100.0,93.8,93.8,43.8
Cordeirópolis,100.0,35.0,10.0,85.0,75.0,100.0,100.0,100.0,100.0,50.0
Coroados,40.0,40.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0
Coronel Macedo,75.0,50.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0
Corumbataí,50.0,50.0,0.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0
Cosmorama,50.0,25.0,0.0,100.0,25.0,100.0,100.0,100.0,100.0,50.0
Cosmópolis,55.8,48.8,30.2,86.0,79.1,100.0,100.0,95.3,93.0,55.8
Cotia,35.4,23.4,25.8,74.2,66.5,98.1,100.0,76.1,100.0,49.3
Cravinhos,42.3,46.2,19.2,76.9,61.5,100.0,100.0,100.0,100.0,57.7
Cristais Paulista,37.5,50.0,25.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0
Cruzeiro,59.7,43.5,25.8,62.9,41.9,100.0,100.0,100.0,100.0,53.2
Cruzália,33.3,33.3,0.0,100.0,100.0,100.0,100.0,100.0,100.0,33.3
Cubatão,36.0,40.7,23.3,84.9,80.2,100.0,98.8,95.3,100.0,37.2
Cunha,22.2,17.8,8.9,93.3,42.2,100.0,100.0,31.1,100.0,28.9
Cássia dos Coqueiros,40.0,40.0,0.0,100.0,40.0,100.0,100.0,100.0,100.0,40.0
Cândido Mota,60.0,70.0,5.0,90.0,55.0,100.0,95.0,100.0,100.0,80.0
