ANO_LETIVO;NM_DIRETORIA;NM_MUNICIPIO;CD_REDE_ENSINO;APR_1;REP_1;ABA_1;APR_2;REP_2;ABA_2;APR_3;REP_3;ABA_3
2024;CATANDUVA;NOVAIS;1;0;0;0;0;0;0;97,97;2,03;0
2024;CATANDUVA;NOVO HORIZONTE;1;0;0;0;97,22;2,78;0;98,41;1,59;0
2024;SAO JOAQUIM DA BARRA;NUPORANGA;1;0;0;0;0;0;0;99,44;0,56;0
2024;MARILIA;OCAUCU;1;0;0;0;98,77;1,23;0;97,76;2,24;0
2024;PIRAJU;OLEO;1;0;0;0;99,39;0,61;0;100;0;0
2024;BARRETOS;OLIMPIA;1;0;0;0;99,85;0,15;0;99,33;0,67;0
2024;SAO JOSE DO RIO PRETO;ONDA VERDE;1;0;0;0;95,15;4,85;0;92,21;7,79;0
2024;MARILIA;ORIENTE;1;0;0;0;97,29;2,71;0;94,74;5,26;0
2024;SAO JOSE DO RIO PRETO;ORINDIUVA;1;0;0;0;0;0;0;99,05;0,95;0
2024;SAO JOAQUIM DA BARRA;ORLANDIA;1;0;0;0;0;0;0;98,58;1,42;0
2024;OSASCO;OSASCO;1;100;0;0;98,13;1,87;0;95,82;4,18;0
2024;MARILIA;OSCAR BRESSANE;1;0;0;0;0;0;0;100;0;0
2024;ADAMANTINA;OSVALDO CRUZ;1;0;0;0;99,59;0,41;0;98,86;1,14;0
2024;OURINHOS;OURINHOS;1;100;0;0;99,75;0,25;0;98,3;1,7;0
2024;ADAMANTINA;OURO VERDE;1;0;0;0;0;0;0;100;0;0
2024;FERNANDOPOLIS;OUROESTE;1;0;0;0;99,54;0,46;0;97,19;2,81;0
2024;ADAMANTINA;PACAEMBU;1;0;0;0;98,57;1,43;0;99;1;0
2024;SAO JOSE DO RIO PRETO;PALESTINA;1;0;0;0;0;0;0;97,79;2,21;0
2024;CATANDUVA;PALMARES PAULISTA;1;0;0;0;100;0;0;97,56;2,44;0
2024;JALES;PALMEIRA D'OESTE;1;0;0;0;79,23;20,77;0;85,62;14,38;0
2024;ASSIS;PALMITAL;1;0;0;0;96,53;3,47;0;94,53;5,47;0
2024;ADAMANTINA;PANORAMA;1;0;0;0;99,71;0,29;0;98,8;1,2;0
2024;ASSIS;PARAGUACU PAULISTA;1;0;0;0;98,94;1,06;0;97,75;2,25;0
2024;TAUBATE;PARAIBUNA;1;0;0;0;98,61;1,39;0;91,93;8,07;0
2024;CATANDUVA;PARAISO;1;0;0;0;0;0;0;100;0;0
2024;ITAPETININGA;PARANAPANEMA;1;0;0;0;0;0;0;98,77;1,23;0
2024;JALES;PARANAPUA;1;0;0;0;99,47;0,53;0;100;0;0
2024;TUPA;PARAPUA;1;0;0;0;100;0;0;92,7;7,3;0
2024;BOTUCATU;PARDINHO;1;0;0;0;0;0;0;84,74;15,26;0
2024;REGISTRO;PARIQUERA-ACU;1;100;0;0;99,18;0,82;0;96,53;3,47;0
2024;VOTUPORANGA;PARISI;1;0;0;0;100;0;0;98,51;1,49;0
2024;FRANCA;PATROCINIO PAULISTA;1;0;0;0;99,06;0,94;0;96,98;3,02;0
2024;ADAMANTINA;PAULICEIA;1;0;0;0;99,54;0,46;0;99,15;0,85;0
2024;SUMARE;PAULINIA;1;0;0;0;97,7;2,3;0;94,91;5,09;0
2024;BAURU;PAULISTANIA;1;0;0;0;100;0;0;100;0;0
2024;VOTUPORANGA;PAULO DE FARIA;1;0;0;0;0;0;0;100;0;0
2024;JAU;PEDERNEIRAS;1;0;0;0;97,14;2,86;0;95,02;4,98;0
2024;BRAGANCA PAULISTA;PEDRA BELA;1;0;0;0;0;0;0;100;0;0
2024;FERNANDOPOLIS;PEDRANOPOLIS;1;0;0;0;100;0;0;100;0;0
2024;FRANCA;PEDREGULHO;1;0;0;0;99,23;0,77;0;98,21;1,79;0
