nu_ano_censo;no_regiao;sg_uf;no_municipio;no_entidade;qt_mat_bas;dt_ano_letivo_inicio
2024;Centro-Oeste;GO;Caldas Novas;SENAC - CENTRO DE EDUCACAO PROFISSIONAL VALERIA JAIME PEIXOTO PERILLO;250.0;2024-01-02
2024;Centro-Oeste;GO;Catalão;SENAC - CENTRO DE EDUCACAO PROFISSIONAL CATALAO;253.0;2024-01-22
2024;Centro-Oeste;GO;Goiânia;SENAC - CENTRO EDUCACAO PROFISSIONAL CORA CORALINA;166.0;2024-01-08
2024;Centro-Oeste;GO;Goiânia;SENAC - CENTRO DE EDUCACAO PROFISSIONAL ELIAS BUFAICAL;178.0;2023-06-01
2024;Centro-Oeste;GO;Jataí;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;313.0;2024-01-02
2024;Centro-Oeste;GO;Mineiros;CENTRO DE EDUCACAO PROFISSIONAL DONA NICINHA - SENAC;273.0;2024-01-08
2024;Centro-Oeste;GO;Quirinópolis;SENAC CENTRO DE EDUCACAO PROFIS ONICIO RESENDE;137.0;2024-01-15
2024;Centro-Oeste;DF;Brasília;C DE EDUC PROFISSIONAL SENAC - PLANO PILOTO;859.0;2024-02-06
2024;Centro-Oeste;DF;Brasília;CEP SENAC - TAGUATINGA;575.0;2024-01-02
2024;Centro-Oeste;DF;Brasília;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC JOAQUIM LOIOLA - GAMA;226.0;2024-01-02
2024;Centro-Oeste;DF;Brasília;C DE EDUC PROFISSIONAL SENAC TECNOLOGIA DO TURISMO E HOSPITALIDADE;79.0;2024-02-06
2024;Centro-Oeste;DF;Brasília;C DE EDUC PROFISSIONAL SENAC - SOBRADINHO;273.0;2024-02-06
2024;Centro-Oeste;DF;Brasília;C DE EDUC PROFISSIONAL SENAC - JESSE FREIRE;1465.0;2024-02-06
