ano,unidade_geografica,regiao,localizacao,dependencia_administrativa,grupo_de_abandono,taxa_abandono,renda_media
2013,Centro-Oeste,Brasil,Total,Privada,Ensino Fundamental,0.1,3299
2013,Centro-Oeste,Brasil,Total,Municipal,Ensino Fundamental,1.3,3299
2013,Centro-Oeste,Brasil,Total,Federal,Ensino Fundamental,0.0,3299
2013,Centro-Oeste,Brasil,Total,Estadual,Ensino Fundamental,2.0,3299
2013,Centro-Oeste,Brasil,Rural,Total,Ensino Fundamental,2.2,3299
2013,Centro-Oeste,Brasil,Rural,Pública,Ensino Fundamental,2.2,3299
2013,Centro-Oeste,Brasil,Rural,Privada,Ensino Fundamental,0.1,3299
2013,Centro-Oeste,Brasil,Rural,Municipal,Ensino Fundamental,2.4,3299
2013,Centro-Oeste,Brasil,Rural,Estadual,Ensino Fundamental,1.4,3299
2013,Centro-Oeste,Brasil,Urbana,Total,Ensino Fundamental,1.3,3299
2013,Centro-Oeste,Brasil,Urbana,Pública,Ensino Fundamental,1.6,3299
2013,Centro-Oeste,Brasil,Urbana,Privada,Ensino Fundamental,0.1,3299
2013,Centro-Oeste,Brasil,Urbana,Municipal,Ensino Fundamental,1.1,3299
2013,Centro-Oeste,Brasil,Urbana,Federal,Ensino Fundamental,0.0,3299
2013,Centro-Oeste,Brasil,Urbana,Estadual,Ensino Fundamental,2.1,3299
2013,Brasil,Brasil,Total,Total,Ensino Fundamental,2.2,2901
2013,Brasil,Brasil,Total,Pública,Ensino Fundamental,2.6,2901
2013,Brasil,Brasil,Total,Privada,Ensino Fundamental,0.2,2901
2013,Brasil,Brasil,Total,Municipal,Ensino Fundamental,2.5,2901
2013,Brasil,Brasil,Total,Federal,Ensino Fundamental,0.1,2901
2013,Brasil,Brasil,Total,Estadual,Ensino Fundamental,2.7,2901
2013,Brasil,Brasil,Rural,Total,Ensino Fundamental,3.5,2901
2013,Brasil,Brasil,Rural,Pública,Ensino Fundamental,3.5,2901
2013,Brasil,Brasil,Rural,Privada,Ensino Fundamental,1.0,2901
2013,Brasil,Brasil,Rural,Municipal,Ensino Fundamental,3.5,2901
2013,Brasil,Brasil,Rural,Federal,Ensino Fundamental,1.0,2901
2013,Brasil,Brasil,Rural,Estadual,Ensino Fundamental,3.4,2901
2013,Brasil,Brasil,Urbana,Total,Ensino Fundamental,2.1,2901
2013,Brasil,Brasil,Urbana,Pública,Ensino Fundamental,2.4,2901
2013,Brasil,Brasil,Urbana,Privada,Ensino Fundamental,0.2,2901
2013,Brasil,Brasil,Urbana,Municipal,Ensino Fundamental,2.3,2901
2013,Brasil,Brasil,Urbana,Federal,Ensino Fundamental,0.1,2901
2013,Brasil,Brasil,Urbana,Estadual,Ensino Fundamental,2.7,2901
2013,Rondônia,Norte,Total,Total,Ensino Fundamental,2.5,2374
2013,Rondônia,Norte,Total,Pública,Ensino Fundamental,2.7,2374
2013,Rondônia,Norte,Total,Privada,Ensino Fundamental,0.1,2374
2013,Rondônia,Norte,Total,Municipal,Ensino Fundamental,2.0,2374
2013,Rondônia,Norte,Total,Estadual,Ensino Fundamental,3.2,2374
2013,Rondônia,Norte,Rural,Total,Ensino Fundamental,3.3,2374
2013,Rondônia,Norte,Rural,Pública,Ensino Fundamental,3.3,2374
2013,Rondônia,Norte,Rural,Privada,Ensino Fundamental,0.0,2374
2013,Rondônia,Norte,Rural,Municipal,Ensino Fundamental,2.7,2374
2013,Rondônia,Norte,Rural,Estadual,Ensino Fundamental,6.3,2374
2013,Rondônia,Norte,Urbana,Total,Ensino Fundamental,2.2,2374
2013,Rondônia,Norte,Urbana,Pública,Ensino Fundamental,2.5,2374
2013,Rondônia,Norte,Urbana,Privada,Ensino Fundamental,0.1,2374
2013,Rondônia,Norte,Urbana,Municipal,Ensino Fundamental,1.6,2374
2013,Rondônia,Norte,Urbana,Estadual,Ensino Fundamental,2.9,2374
2013,Acre,Norte,Total,Total,Ensino Fundamental,2.7,2395
2013,Acre,Norte,Total,Pública,Ensino Fundamental,2.8,2395
2013,Acre,Norte,Total,Privada,Ensino Fundamental,0.0,2395
2013,Acre,Norte,Total,Municipal,Ensino Fundamental,3.2,2395
2013,Acre,Norte,Total,Federal,Ensino Fundamental,0.0,2395
2013,Acre,Norte,Total,Estadual,Ensino Fundamental,2.6,2395
2013,Acre,Norte,Rural,Total,Ensino Fundamental,5.1,2395
2013,Acre,Norte,Rural,Pública,Ensino Fundamental,5.1,2395
2013,Acre,Norte,Rural,Municipal,Ensino Fundamental,5.0,2395
2013,Acre,Norte,Rural,Estadual,Ensino Fundamental,5.3,2395
2013,Acre,Norte,Urbana,Total,Ensino Fundamental,1.5,2395
2013,Acre,Norte,Urbana,Pública,Ensino Fundamental,1.6,2395
2013,Acre,Norte,Urbana,Privada,Ensino Fundamental,0.0,2395
2013,Acre,Norte,Urbana,Municipal,Ensino Fundamental,1.5,2395
2013,Acre,Norte,Urbana,Federal,Ensino Fundamental,0.0,2395
2013,Acre,Norte,Urbana,Estadual,Ensino Fundamental,1.7,2395
2013,Amazonas,Norte,Total,Total,Ensino Fundamental,5.0,2552
2013,Amazonas,Norte,Total,Pública,Ensino Fundamental,5.3,2552
2013,Amazonas,Norte,Total,Privada,Ensino Fundamental,0.3,2552
2013,Amazonas,Norte,Total,Municipal,Ensino Fundamental,5.6,2552
2013,Amazonas,Norte,Total,Federal,Ensino Fundamental,0.0,2552
2013,Amazonas,Norte,Total,Estadual,Ensino Fundamental,4.8,2552
2013,Amazonas,Norte,Rural,Total,Ensino Fundamental,7.0,2552
2013,Amazonas,Norte,Rural,Pública,Ensino Fundamental,7.0,2552
2013,Amazonas,Norte,Rural,Privada,Ensino Fundamental,0.0,2552
2013,Amazonas,Norte,Rural,Municipal,Ensino Fundamental,7.2,2552
2013,Amazonas,Norte,Rural,Estadual,Ensino Fundamental,5.9,2552
2013,Amazonas,Norte,Urbana,Total,Ensino Fundamental,4.2,2552
2013,Amazonas,Norte,Urbana,Pública,Ensino Fundamental,4.7,2552
2013,Amazonas,Norte,Urbana,Privada,Ensino Fundamental,0.3,2552
2013,Amazonas,Norte,Urbana,Municipal,Ensino Fundamental,4.6,2552
2013,Amazonas,Norte,Urbana,Federal,Ensino Fundamental,0.0,2552
2013,Amazonas,Norte,Urbana,Estadual,Ensino Fundamental,4.7,2552
2013,Roraima,Norte,Total,Total,Ensino Fundamental,2.7,3033
2013,Roraima,Norte,Total,Pública,Ensino Fundamental,2.8,3033
2013,Roraima,Norte,Total,Privada,Ensino Fundamental,0.1,3033
2013,Roraima,Norte,Total,Municipal,Ensino Fundamental,1.0,3033
2013,Roraima,Norte,Total,Federal,Ensino Fundamental,0.0,3033
2013,Roraima,Norte,Total,Estadual,Ensino Fundamental,4.4,3033
2013,Roraima,Norte,Rural,Total,Ensino Fundamental,3.9,3033
2013,Roraima,Norte,Rural,Pública,Ensino Fundamental,3.9,3033
2013,Roraima,Norte,Rural,Municipal,Ensino Fundamental,2.3,3033
2013,Roraima,Norte,Rural,Estadual,Ensino Fundamental,4.6,3033
2013,Roraima,Norte,Urbana,Total,Ensino Fundamental,2.3,3033
2013,Roraima,Norte,Urbana,Pública,Ensino Fundamental,2.5,3033
2013,Roraima,Norte,Urbana,Privada,Ensino Fundamental,0.1,3033
2013,Roraima,Norte,Urbana,Municipal,Ensino Fundamental,0.7,3033
2013,Roraima,Norte,Urbana,Federal,Ensino Fundamental,0.0,3033
2013,Roraima,Norte,Urbana,Estadual,Ensino Fundamental,4.2,3033
2013,Pará,Norte,Total,Total,Ensino Fundamental,4.5,1994
2013,Pará,Norte,Total,Pública,Ensino Fundamental,4.8,1994
2013,Pará,Norte,Total,Privada,Ensino Fundamental,0.5,1994
2013,Pará,Norte,Total,Municipal,Ensino Fundamental,4.6,1994
2013,Pará,Norte,Total,Federal,Ensino Fundamental,0.1,1994
2013,Pará,Norte,Total,Estadual,Ensino Fundamental,6.4,1994
2013,Pará,Norte,Rural,Total,Ensino Fundamental,5.8,1994
2013,Pará,Norte,Rural,Pública,Ensino Fundamental,5.8,1994
2013,Pará,Norte,Rural,Privada,Ensino Fundamental,2.6,1994
2013,Pará,Norte,Rural,Municipal,Ensino Fundamental,5.7,1994
2013,Pará,Norte,Rural,Estadual,Ensino Fundamental,6.7,1994
2013,Pará,Norte,Urbana,Total,Ensino Fundamental,3.8,1994
2013,Pará,Norte,Urbana,Pública,Ensino Fundamental,4.3,1994
2013,Pará,Norte,Urbana,Privada,Ensino Fundamental,0.5,1994
2013,Pará,Norte,Urbana,Municipal,Ensino Fundamental,3.7,1994
2013,Pará,Norte,Urbana,Federal,Ensino Fundamental,0.1,1994
2013,Pará,Norte,Urbana,Estadual,Ensino Fundamental,6.4,1994
2013,Amapá,Norte,Total,Total,Ensino Fundamental,3.1,2693
2013,Amapá,Norte,Total,Pública,Ensino Fundamental,3.2,2693
2013,Amapá,Norte,Total,Privada,Ensino Fundamental,0.4,2693
2013,Amapá,Norte,Total,Municipal,Ensino Fundamental,2.0,2693
2013,Amapá,Norte,Total,Estadual,Ensino Fundamental,4.0,2693
2013,Amapá,Norte,Rural,Total,Ensino Fundamental,4.1,2693
2013,Amapá,Norte,Rural,Pública,Ensino Fundamental,4.1,2693
2013,Amapá,Norte,Rural,Privada,Ensino Fundamental,7.2,2693
2013,Amapá,Norte,Rural,Municipal,Ensino Fundamental,2.2,2693
2013,Amapá,Norte,Rural,Estadual,Ensino Fundamental,4.8,2693
2013,Amapá,Norte,Urbana,Total,Ensino Fundamental,2.8,2693
2013,Amapá,Norte,Urbana,Pública,Ensino Fundamental,3.1,2693
